"","V1","V2","V3"
"Astrocytes",0.207915882352941,0.010060945386064,0.0272928402777778
"Bergmann",0.440918431372549,0.0112473013182674,0.0811530347222222
"Candelabrum",0.01,0.01,0.0148002430555556
"Choroid",0.01,0.01,0.01
"Endothelial",0.01,0.01,0.0122453472222222
"Ependymal",0.0138260784313725,0.01,0.01
"Fibroblast",0.01,0.01,0.029496875
"Globular",0.01,0.01,0.0192421527777778
"Golgi",0.01,0.01,0.0191888888888889
"Granule",0.100263960784314,0.817891035781544,0.176272881944444
"Lugaro",0.01,0.01,0.0214275
"Macrophages",0.01,0.01,0.01
"Microglia",0.01,0.01,0.01
"MLI1",0.0223098725490196,0.01,0.168727430555556
"MLI2",0.0763270588235294,0.0108007156308851,0.193926472222222
"Oligodendrocytes",0.01,0.01,0.07115875
"Polydendrocytes",0.0184389215686275,0.01,0.0135534027777778
"Purkinje",0.01,0.01,0.10151425
"UBCs",0.01,0.01,0.01
